Date,Temperature (°C),Rainfall (mm),Humidity (%),Dengue_Cases
2010-01-01,25.44,106.28,58.92,13
2010-01-02,25.55,102.83,61.57,14
2010-01-03,25.12,95.48,62.61,14
2010-01-04,25.01,134.35,55.65,19
2010-01-05,25.61,46.88,64.08,13
2010-01-06,26.2,129.93,63.73,15
2010-01-07,25.89,86.23,62.57,12
2010-01-08,27.22,73.22,58.39,12
2010-01-09,27.4,129.42,59.79,14
2010-01-10,25.43,99.98,64.66,17
2010-01-11,25.8,142.35,65.02,16
2010-01-12,25.59,118.08,58.53,13
2010-01-13,26.95,126.87,67.39,18
2010-01-14,25.74,59.45,69.83,11
2010-01-15,27.92,94.21,64.32,16
2010-01-16,26.79,68.43,73.75,14
2010-01-17,28.76,140.82,71.71,17
2010-01-18,26.69,79.9,64.13,14
2010-01-19,23.54,120.18,69.01,15
2010-01-20,23.46,145.65,69.54,16
2010-01-21,25.84,85.49,79.88,13
2010-01-22,27.79,107.19,67.73,19
2010-01-23,25.39,113.73,68.64,15
2010-01-24,24.1,102.06,66.84,15
2010-01-25,31.03,133.85,68.4,14
2010-01-26,31.97,117.76,73.19,15
2010-01-27,28.94,71.45,65.66,13
2010-01-28,29.26,100.54,68.23,14
2010-01-29,25.73,114.1,72.18,16
2010-01-30,28.35,134.96,66.36,13
2010-01-31,29.14,141.01,72.75,16
2010-02-01,29.2,150.42,66.87,18
2010-02-02,27.11,106.81,70.3,16
2010-02-03,29.35,131.0,62.14,17
2010-02-04,26.65,79.11,72.29,12
2010-02-05,30.38,115.47,66.29,12
2010-02-06,26.14,113.37,65.12,15
2010-02-07,26.12,110.6,74.09,17
2010-02-08,27.71,156.24,73.69,22
2010-02-09,29.5,153.66,71.6,18
2010-02-10,27.56,111.79,73.47,15
2010-02-11,28.17,155.89,72.57,17
2010-02-12,29.85,159.48,69.3,21
2010-02-13,29.44,123.87,71.96,14
2010-02-14,27.64,127.91,75.38,17
2010-02-15,29.45,158.34,74.11,18
2010-02-16,28.31,151.42,64.27,15
2010-02-17,28.8,141.05,83.16,16
2010-02-18,27.46,99.97,74.82,15
2010-02-19,26.49,129.85,75.4,16
2010-02-20,29.59,156.47,63.1,19
2010-02-21,28.17,157.1,71.07,20
2010-02-22,28.46,164.43,68.49,16
2010-02-23,29.91,135.53,87.65,18
2010-02-24,29.46,119.1,65.69,14
2010-02-25,30.09,132.73,79.57,17
2010-02-26,30.29,121.17,74.51,16
2010-02-27,29.87,156.93,82.26,15
2010-02-28,27.64,139.19,66.65,16
2010-03-01,27.88,157.62,82.79,21
2010-03-02,30.41,151.22,71.98,16
2010-03-03,27.39,150.51,88.72,21
2010-03-04,29.91,147.62,85.11,16
2010-03-05,28.83,131.86,85.4,21
2010-03-06,30.96,181.08,81.68,19
2010-03-07,28.86,130.6,81.44,14
2010-03-08,30.79,139.47,75.91,16
2010-03-09,31.34,129.7,71.54,15
2010-03-10,28.6,135.13,82.79,17
2010-03-11,28.7,159.27,83.1,21
2010-03-12,27.64,172.48,77.24,18
2010-03-13,28.67,135.02,85.05,17
2010-03-14,28.5,184.51,81.64,21
2010-03-15,27.25,172.31,75.98,19
2010-03-16,30.84,162.96,77.46,17
2010-03-17,32.21,163.39,79.32,17
2010-03-18,28.96,141.06,77.96,14
2010-03-19,29.85,169.07,83.0,18
2010-03-20,29.73,123.03,78.58,14
2010-03-21,27.5,127.83,92.02,18
2010-03-22,30.72,107.24,77.53,15
2010-03-23,27.4,191.24,77.27,19
2010-03-24,29.45,163.47,80.71,21
2010-03-25,28.03,177.89,88.88,20
2010-03-26,29.5,162.44,76.65,20
2010-03-27,31.15,146.51,88.0,17
2010-03-28,28.52,151.16,85.68,18
2010-03-29,30.42,166.81,89.62,18
2010-03-30,31.37,168.66,72.64,20
2010-03-31,31.64,123.58,80.56,15
2010-04-01,28.37,160.39,88.93,19
2010-04-02,30.83,174.52,71.7,19
2010-04-03,31.15,157.57,82.29,21
2010-04-04,31.34,131.96,86.19,16
2010-04-05,31.36,166.68,78.39,20
2010-04-06,30.91,142.39,74.68,20
2010-04-07,30.46,137.92,72.66,23
2010-04-08,32.5,136.18,78.92,15
2010-04-09,30.76,126.16,84.1,18
2010-04-10,26.24,158.03,82.54,20
2010-04-11,31.05,138.46,72.82,17
2010-04-12,27.69,115.02,90.15,16
2010-04-13,31.62,155.38,84.8,17
2010-04-14,28.35,153.54,69.06,16
2010-04-15,27.5,139.77,81.93,17
2010-04-16,30.88,113.45,83.77,18
2010-04-17,32.19,140.32,75.44,19
2010-04-18,29.22,122.87,81.85,16
2010-04-19,29.37,134.43,79.69,17
2010-04-20,29.07,122.03,69.72,14
2010-04-21,28.55,171.33,80.15,18
2010-04-22,31.15,164.44,73.5,18
2010-04-23,31.59,152.21,83.02,16
2010-04-24,28.85,141.43,84.41,15
2010-04-25,27.94,135.97,80.24,17
2010-04-26,29.4,135.93,82.05,19
2010-04-27,24.49,96.85,87.41,16
2010-04-28,28.77,138.4,70.46,19
2010-04-29,29.29,174.24,70.07,17
2010-04-30,29.08,145.67,71.35,16
2010-05-01,27.47,173.57,77.39,16
2010-05-02,30.09,151.36,76.67,18
2010-05-03,30.57,146.73,78.69,16
2010-05-04,29.07,156.12,84.84,18
2010-05-05,29.87,124.88,75.23,14
2010-05-06,30.21,171.66,79.96,19
2010-05-07,28.78,127.2,85.71,14
2010-05-08,28.99,136.07,72.18,15
2010-05-09,28.76,146.72,73.07,22
2010-05-10,26.63,147.04,79.65,16
2010-05-11,30.88,148.42,75.85,15
2010-05-12,31.12,136.95,79.47,15
2010-05-13,28.38,127.9,82.51,17
2010-05-14,29.45,151.75,63.03,16
2010-05-15,30.13,157.52,80.26,18
2010-05-16,28.91,135.28,71.86,16
2010-05-17,26.59,120.08,81.06,15
2010-05-18,28.65,159.34,74.74,21
2010-05-19,27.04,126.51,71.23,19
2010-05-20,29.92,141.03,64.48,18
2010-05-21,27.54,117.7,70.88,15
2010-05-22,28.87,127.78,73.61,15
2010-05-23,28.93,133.04,63.06,16
2010-05-24,27.16,156.81,68.81,20
2010-05-25,31.29,135.91,71.21,14
2010-05-26,26.17,115.58,82.9,16
2010-05-27,30.42,119.88,76.5,17
2010-05-28,26.4,122.37,71.89,15
2010-05-29,28.56,116.63,71.94,13
2010-05-30,28.35,96.58,67.54,13
2010-05-31,28.61,117.32,71.56,15
2010-06-01,25.06,154.41,71.86,18
2010-06-02,25.38,138.71,67.64,18
2010-06-03,26.76,134.04,72.03,14
2010-06-04,28.66,116.32,57.65,16
2010-06-05,26.77,85.7,65.46,14
2010-06-06,24.05,130.12,66.62,14
2010-06-07,27.3,103.82,65.05,14
2010-06-08,27.74,144.54,69.91,16
2010-06-09,28.57,129.8,74.06,17
2010-06-10,27.54,128.09,75.71,14
2010-06-11,26.81,135.42,63.49,15
2010-06-12,25.85,161.66,60.15,20
2010-06-13,24.47,123.21,67.77,15
2010-06-14,25.87,136.14,64.49,16
2010-06-15,28.19,104.55,60.92,13
2010-06-16,23.07,97.91,58.38,17
2010-06-17,25.47,101.59,62.93,13
